year,region,cancer_type,cases
1982,Australia,Melanoma of the skin,7035
1982,Victoria,Melanoma of the skin,644
1983,Australia,Melanoma of the skin,7534
1983,Victoria,Melanoma of the skin,721
1984,Australia,Melanoma of the skin,8025
1984,Victoria,Melanoma of the skin,745
1985,Australia,Melanoma of the skin,8941
1985,Victoria,Melanoma of the skin,868
1986,Australia,Melanoma of the skin,9397
1986,Victoria,Melanoma of the skin,828
1987,Australia,Melanoma of the skin,11097
1987,Victoria,Melanoma of the skin,997
1988,Australia,Melanoma of the skin,12010
1988,Victoria,Melanoma of the skin,1126
1989,Australia,Melanoma of the skin,11459
1989,Victoria,Melanoma of the skin,1109
1990,Australia,Melanoma of the skin,11680
1990,Victoria,Melanoma of the skin,1101
1991,Australia,Melanoma of the skin,11933
1991,Victoria,Melanoma of the skin,1129
1992,Australia,Melanoma of the skin,13122
1992,Victoria,Melanoma of the skin,1378
1993,Australia,Melanoma of the skin,13532
1993,Victoria,Melanoma of the skin,1261
1994,Australia,Melanoma of the skin,13908
1994,Victoria,Melanoma of the skin,1315
1995,Australia,Melanoma of the skin,14930
1995,Victoria,Melanoma of the skin,1535
1996,Australia,Melanoma of the skin,15661
1996,Victoria,Melanoma of the skin,1684
1997,Australia,Melanoma of the skin,16855
1997,Victoria,Melanoma of the skin,1812
1998,Australia,Melanoma of the skin,15994
1998,Victoria,Melanoma of the skin,1542
1999,Australia,Melanoma of the skin,16781
1999,Victoria,Melanoma of the skin,1668
2000,Australia,Melanoma of the skin,17432
2000,Victoria,Melanoma of the skin,1731
2001,Australia,Melanoma of the skin,17986
2001,Victoria,Melanoma of the skin,1740
2002,Australia,Melanoma of the skin,19710
2002,Victoria,Melanoma of the skin,1830
2003,Australia,Melanoma of the skin,19200
2003,Victoria,Melanoma of the skin,1759
2004,Australia,Melanoma of the skin,19729
2004,Victoria,Melanoma of the skin,1970
2005,Australia,Melanoma of the skin,21607
2005,Victoria,Melanoma of the skin,2311
2006,Australia,Melanoma of the skin,20869
2006,Victoria,Melanoma of the skin,2194
2007,Australia,Melanoma of the skin,20907
2007,Victoria,Melanoma of the skin,2174
2008,Australia,Melanoma of the skin,22264
2008,Victoria,Melanoma of the skin,2228
2009,Australia,Melanoma of the skin,22637
2009,Victoria,Melanoma of the skin,2380
2010,Australia,Melanoma of the skin,23011
2010,Victoria,Melanoma of the skin,2276
2011,Australia,Melanoma of the skin,23287
2011,Victoria,Melanoma of the skin,2072
2012,Australia,Melanoma of the skin,24446
2012,Victoria,Melanoma of the skin,2278
2013,Australia,Melanoma of the skin,25721
2013,Victoria,Melanoma of the skin,2329
2014,Australia,Melanoma of the skin,26379
2014,Victoria,Melanoma of the skin,2465
2015,Australia,Melanoma of the skin,27403
2015,Victoria,Melanoma of the skin,2693
2016,Australia,Melanoma of the skin,29040
2016,Victoria,Melanoma of the skin,2822
2017,Australia,Melanoma of the skin,29883
2017,Victoria,Melanoma of the skin,2982
2018,Australia,Melanoma of the skin,30248
2018,Victoria,Melanoma of the skin,3074
2019,Australia,Melanoma of the skin,31224
2019,Victoria,Melanoma of the skin,2832
